gene,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk
WDR44,129.29487004294393,-0.1987950841042773,0.19617232578799887,-1.013369665194839,0.31088362320065177,0.4521387647993362
WDR45,673.4061952361751,0.7153908391040386,0.16988457225830073,4.2110406471537845,2.5419699918149248e-05,0.00023333252696676747
WDR45B,1153.7036879150428,0.15126640785956166,0.1586084911091255,0.9537093934995425,0.3402307639687553,0.482732569161067
WDR46,662.1668813545257,0.3841036452061816,0.16327097763785442,2.352553103823193,0.018645027265315146,0.05286139930808754
WDR47,704.9725736911859,-1.2228813194201673,0.35878885874617533,-3.4083592330421077,0.0006535479498748189,0.003465686248591393
WDR48,362.65719741766605,-0.9484684878117131,0.17398748671536687,-5.451360357675324,4.998596423500746e-08,1.1876531658061838e-06
WDR49,1.8486683918786213,-1.604689942330202,1.0170919154051565,-1.5777236236225285,0.1146291166887782,0.2164630050373453
WDR5,341.93901443034196,0.6398020754151533,0.19334009641324137,3.309205318940427,0.000935611979567107,0.004678059897835535
WDR5-DT,1.0906121880080002,0.6712335506935463,0.9672917834968711,0.693930789184376,0.4877256137974768,0.6211412176842578
WDR53,152.35134978171618,0.7021694451002214,0.17478580204162508,4.017313974581302,5.886527102407083e-05,0.0004670736214985709
WDR54,177.13911256067783,0.3453894201341397,0.3770155997823345,0.9161144003949604,0.35960689561269177,0.5017115147150292
WDR55,381.2282597082248,0.48234291729295575,0.11829841901683198,4.077340350798146,4.555378760460233e-05,0.0003774355714640441
WDR59,299.8047135350267,0.03786038129396131,0.13686516533849416,0.2766254013599825,0.7820677580732733,0.8532074972570941
WDR5B,50.50103162016887,-0.41213931376829455,0.24317012986847608,-1.6948599484287366,0.09010199191931821,0.18015337895690697
WDR5B-DT,47.818162754189935,-0.8260648222737287,0.2939278515192951,-2.810433982366251,0.004947473771722609,0.018283397883044106
WDR6,231.3889189634536,0.28355582376459193,0.23234425581338797,1.2204124555260603,0.22230855798643812,0.35389110140038144
WDR62,76.89730443350577,0.15349531594967364,0.30786382048851474,0.4985818590378987,0.6180739877467,0.7290733586409052
WDR64,0.6002182472631369,-1.318293855028635,1.3131019623175657,-1.0039539143646588,0.3154008276405731,
WDR7,86.49785804663983,-0.6986588383661513,0.3016442927508678,-2.316167934074534,0.02054910125493893,0.05691232047505718
WDR70,342.920674424072,-0.4283100222556022,0.14377238635469988,-2.9790840446851976,0.0028911146689540234,0.011871243623386764
WDR72,2.6987130991647246,1.330841816074333,0.801479041642578,1.660482366883682,0.09681745231167871,0.19013107902610446
WDR73,285.06763692596326,-0.0020875517497837845,0.1866099517800838,-0.011186711801115107,0.991074481528441,0.993687597722212
WDR74,1256.7296070161565,0.5998549916374273,0.2370768973431523,2.530212763705858,0.011399337812992787,0.03573808804638718
WDR75,303.2099039255291,-0.5621280628803748,0.15200713465277094,-3.6980373596571026,0.00021727291642217444,0.001395774284143653
WDR76,120.6118253811755,0.24335751120591917,0.24860650073982907,0.9788863544666394,0.32763613519715307,0.46974814389926095
WDR77,340.89521768073,1.4012046751091198,0.24081637447348772,5.818560628082968,5.935653049653023e-09,1.872755526448871e-07
WDR81,95.62385788888783,-0.12375729016034563,0.19964956852987828,-0.6198725650730615,0.5353416893202247,0.6623551021709916
WDR81-AS1,0.34454929035339177,0.2210400908716325,1.6394686189843772,0.1348242279919716,0.89275084956643,
WDR82,858.7637151543685,-0.4799458229931865,0.11697208836695745,-4.103079885925698,4.076864018384499e-05,0.0003437892437137501
WDR83,205.05636550379896,0.31425834317197,0.12500009460099423,2.51406484271149,0.01193484880275764,0.03712909560543303
WDR83OS,3779.3122905183404,0.31233314704605597,0.13258250135128222,2.355764477685617,0.018484633325640234,0.05252517863983975
WDR86,16.762027461508296,-1.1847743405758342,0.649758070912238,-1.8234084247887088,0.06824155526765295,0.1450099105170182
WDR87,0.3436670920082612,0.8502515670988129,2.1501390017074677,0.3954402791743284,0.6925179877349782,
WDR88,0.22703472935910177,-0.6705748662385227,2.1381649534385674,-0.31362167131217517,0.7538083980753462,
WDR89,98.02576003924632,-0.482243624888595,0.15636216364394867,-3.0841452538780993,0.002041379010292514,0.008902379677388344
WDR90,97.19910488008064,-0.07143519876946275,0.18340583833157287,-0.3894925015435855,0.6969118565101224,0.7903006606848061
WDR91,136.32266212085122,0.3822117118084203,0.1630463160595248,2.3441910313930845,0.01906840200279454,0.05376202043026549
WDR93,2.2097386954915526,0.05319379486653721,0.6119919508221674,0.08691910865016304,0.9307358104964617,0.9554725290625472
WDR97,8.257527738300459,-0.38324847767136727,0.4496436220503265,-0.8523382938777058,0.39402635778607353,0.5352243562677603
WDSUB1,108.47778903178892,-0.8398625677870516,0.1247783677653726,-6.730834701783324,1.686925240515146e-11,1.0985586322379122e-09
WDTC1,247.4022236094065,-0.11442899671099732,0.12591798202170817,-0.9087581842859412,0.36347778370100337,0.5058894546069872
WEE1,758.16338559038,-0.8574221902847851,0.3762106299516678,-2.2791014448340787,0.02266103565842642,0.06148097569719146
WEE2,0.1154100124766207,-1.598446410362032,3.3055206177910548,-0.483568730976547,0.6286919707188587,
WEE2-AS1,6.57290127481518,-0.9347815469693385,0.38459564878315294,-2.4305567416764964,0.015075645295390672,0.04475549458089573
WFDC1,107.21289623779185,-0.01278980436886083,0.7531862259296662,-0.016980932375753724,0.9864518273397366,0.9914648518716719
WFDC10B,0.4197402431420713,-1.6479019199080671,1.396301027051931,-1.1801910103778637,0.23792425363257186,
WFDC12,47.68775018488032,1.482442853072412,0.6333850022701948,2.3405082971005036,0.01925751051283499,0.05417363684369226
WFDC2,119.44327646589763,-1.4567878229300308,0.44507586334441773,-3.2731225009222964,0.0010636636745456074,0.005194297230977177
WFDC3,23.04557060624504,-1.3486569347579525,0.5062959178658942,-2.6637720889449867,0.00772698945258428,0.026256521588800544
WFDC5,1226.1417637040165,-0.5233661629865453,0.4763857710732189,-1.0986183777225067,0.27193455821388923,0.41017740014467013
WFDC6,0.3673659349699715,-1.5475885314797455,1.5503028333758055,-0.9982491795553585,0.31815854417586,
WFIKKN1,21.490858079446625,-1.6286244383787072,0.42349268347688845,-3.8456967544460237,0.00012021035833119377,0.0008493857935674161
WFIKKN2,1.2346659833487923,-3.931993024242769,1.1458530484125373,-3.431498506453462,0.0006002564355615672,0.003231464985201305
WFS1,132.42258142151925,-1.036241490560566,0.2685261407905455,-3.858996697713874,0.00011385347602374316,0.0008122612718327168
WHAMM,444.28286951437605,-0.434855966370888,0.1779381837739511,-2.4438597559437825,0.014531073943931638,0.04345893859456452
WHR1,603.3634973684098,0.23096835542148203,0.14064379874598928,1.6422221063484217,0.1005439829545521,0.19553844119477773
WHRN,78.28834798147419,-0.21935203107020868,0.23621732964225434,-0.9286026194708586,0.3530950638525546,0.49488914461224187
WIF1,1109.5439158314973,-6.308178174128132,1.0900660304376109,-5.786968860588833,7.166785775439779e-09,2.2121754936906604e-07
WIPF1,355.9185767254754,-0.6860594791970033,0.5192590330112231,-1.321227818067009,0.18642541347483554,0.3102490714314365
WIPF2,701.6662346787227,-0.02902015718581421,0.1721776190639359,-0.16854779002977127,0.8661523503821392,0.9127288704569558
WIPF3,20.588152955166848,-0.44830346144665906,0.3578039637047393,-1.2529303946353152,0.210231039228163,0.3400257631568838
WIPI1,291.45972779674867,0.7566423720636565,0.28719050243658356,2.6346357753621596,0.008422760974907878,0.02809779391285839
WIPI2,1090.1433213067464,0.5145106819951977,0.13831157038777786,3.7199395578597465,0.00019927046037763592,0.0012972926039824149
WIZ,300.11812934984096,0.17122633851082997,0.1355924252682218,1.2628016511403128,0.20666047119429998,0.33553265922090664
WLS,605.5175874488748,-1.2466798797904886,0.19136770683827228,-6.514578140626811,7.289422794155473e-11,3.8828446604279525e-09
WNK1,1796.997210588547,-0.5573363597670777,0.21343927743775803,-2.611217421918068,0.009022051414568306,0.029670672550450965
WNK2,51.23095678174216,-1.8097331754848391,0.3446878231734128,-5.2503542446707225,1.5180698438956737e-07,3.094081284886602e-06
WNK3,25.18273707944171,-0.7938821681407441,0.2625726505151551,-3.023476232513877,0.002498886568424994,0.010552830585519549
WNK4,3.323907157067815,0.3598214599695915,0.63985367584831,0.562349602028221,0.5738778493165557,0.6932283048060797
WNT1,0.04848718163087979,-0.8308768036940772,3.382950712618001,-0.24560712652271469,0.8059863720281032,
WNT10A,315.68187987123144,1.010798920983245,0.4538107684947004,2.2273577251947674,0.02592337540536812,0.06820932479165595
WNT10B,25.20014515624848,-0.6833637531107261,0.40410120510006275,-1.6910708121781344,0.09082327901152286,0.18118768976077515
WNT11,147.6357813825834,-2.7745307996467705,0.6314462354408935,-4.393930383810928,1.1131947708699417e-05,0.00011684442410703663
WNT16,335.0338634088852,0.04908488774558633,0.3609979185282557,0.13597000211441496,0.8918449955336976,0.9298940302938484
WNT2,10.94891769520625,-1.8705681584828704,0.9092429165481211,-2.0572809800755505,0.03965920582544289,0.09526772789377644
WNT2B,153.75203135184108,-0.8703845888061911,0.33076462844308935,-2.6314318822514227,0.008502590989742898,0.02830663085113907
WNT3,400.3486731679079,0.0583915984461474,0.4957305569118552,0.1177889836162145,0.9062348585802082,0.9395775448632778
WNT3A,21.065925768634873,-0.10539676661915381,0.5500266918234861,-0.19162118527327326,0.8480389465802984,0.9001287329616715
WNT4,880.0361976512157,-0.4818241060570113,0.5234990256235328,-0.9203916005060696,0.35736815639697284,0.49950162417480304
WNT5A,186.29174122293188,1.960029652892954,0.3478274072000636,5.635063863054308,1.749934757541337e-08,4.7374659595795895e-07
WNT5A-AS1,11.141733947053586,3.682547621143883,0.5712935384995333,6.445981571603038,1.1485461820963307e-10,5.8973428965330825e-09
WNT5B,39.44361818602959,-0.4747174273839489,0.3634515302525853,-1.306136823950192,0.191506032266471,0.316726036115408
WNT6,43.100372892394645,-1.6144005108404047,0.49223200722465815,-3.2797552518838557,0.001038971767000229,0.005094595856026044
WNT7A,29.03040920224115,2.2484417229090004,0.6502645516377661,3.4577338057964884,0.0005447393357908125,0.0029789124967976844
WNT7B,251.74118923619528,-1.232865399298488,0.4712487302332527,-2.6161670476825685,0.008892304168051863,0.029332016132613964
WNT9A,13.506140340712529,0.38592340323302404,0.505224007917835,0.7638659232040832,0.44494714649404743,0.5817513037346425
WNT9B,0.9897628552278601,1.3598872755759726,1.034556492889913,1.3144640093817266,0.18869010208812864,0.3130910106892277
WRAP53,107.32602575737046,0.42103526328274965,0.153431746713559,2.744120902623747,0.00606731874939357,0.021538628633379867
WRAP73,211.86284983107637,0.28047114861464795,0.1758736607496091,1.5947308279092116,0.11077244116555525,0.21077918697748976
WRN,213.44110149755633,-1.397849914229802,0.21729711539224775,-6.432896781471364,1.2519467320655456e-10,6.306976933235862e-09
WRNIP1,327.16121083807576,-0.08364832911405617,0.12774946071103124,-0.6547842053381998,0.512606701276461,0.6426764770361688
WSB1,3848.095317392552,-0.5779478733212852,0.20536904837103584,-2.8141917095370634,0.0048900056425792955,0.01810862006336577
WSB2,472.2474025902961,0.10970461172946769,0.17419610581456355,0.629776487921327,0.5288408308699721,0.6564411987088915
WSCD1,16.187890811803474,-1.2165167301482018,0.5236405519167971,-2.3231904513413197,0.020168923511776383,0.05613867685842371
WSCD2,10.61499510833716,0.824521408498909,0.7573303235721425,1.0887209752936373,0.27627694917421275,0.415002304779174
WTAP,3445.6985978447065,0.18154171989535134,0.29348246612528794,0.6185777375124379,0.5361945715889676,0.6629124800952183
WTIP,155.81834754849456,-0.7430526616866557,0.4161283002829066,-1.7856335682564444,0.07415860801831559,0.15490200149337188
