gene,log2FC,padj,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk,same_direction
BACH2,-2.008,8.25e-28,62.5945775012422,-1.7331507577440972,0.2947651078211543,-5.87976904917684,4.1083930314237195e-09,1.36477877373578e-07,True
GABARAPL1,-2.008,1.03e-28,597.1272210351366,-0.09085298793442427,0.21827211700343457,-0.4162372600848265,0.6772363972385752,0.7754781518717684,True
IRF6,-2.011,7.99e-09,2575.3250374431946,-0.14781078395458064,0.44898213065399545,-0.32921306631797753,0.7419946474252361,0.823538442750575,True
RGMA,-2.011,1.68e-21,80.47396443439334,-0.19201134008437257,0.41795396555627706,-0.4594078676315812,0.6459412994809886,0.7507512328280507,True
CYP4B1,-2.012,6.31e-11,132.45975546004752,-1.704981574415513,0.42449698307341105,-4.016475127976727,5.907509549123681e-05,0.0004683905121354188,True
NR4A2,-2.014,1.78e-25,1423.9637623203805,-1.061532912532765,0.31874692168605434,-3.3303314959644004,0.0008674264737923502,0.004406237688514768,True
GATA3,-2.016,1.5e-20,1770.021648570653,-1.3840513111687132,0.34793636745122314,-3.977886305209937,6.9530602200676e-05,0.0005365511788318062,True
P4HA1,-2.016,6.83e-21,391.9905317011143,-1.467839220505824,0.25232942546346376,-5.817154371947638,5.985785835164534e-09,1.8830100948323187e-07,True
ZNF415,-2.023,1.93e-30,28.19186266375898,-1.2284896224748407,0.3694196303761191,-3.325458425758459,0.0008827326379063256,0.004462761927971389,True
FOXC1,-2.025,1.9000000000000003e-21,214.937289392426,-1.2329175299363853,0.42917557039547327,-2.87275794565913,0.004069057487663417,0.015649093974881272,True
APOC1,-2.028,6.82e-19,228.0830852129893,-0.3148267382533036,0.31456900473381677,-1.0008193226783577,0.31691416609114487,0.458903571805766,True
FGF2,-2.028,1.05e-15,96.91882418152078,-1.4288366729340416,0.6611592543212961,-2.1611081802081014,0.03068698383416381,0.07807909168525777,True
PDZRN4,-2.028,9.75e-12,12.220100735884712,-2.18925365056985,0.6737257941001932,-3.2494728118488436,0.0011561912986831715,0.005564724231607153,True
DSG2,-2.03,2.83e-25,92.52351298207041,-0.57279113476909,0.2468663313867448,-2.3202480935796226,0.020327460279545934,0.05643287647141943,True
RGS1,-2.03,2.09e-08,715.7629468038319,0.42820713368737473,0.3378603715479467,1.2674085798387478,0.20500923352256017,0.3335616413803995,False
IL37,-2.035,4.62e-12,41.99689780018678,-6.713195426336691,1.137147067626119,-5.903541958166412,3.5577908564334777e-09,1.1969466517222868e-07,True
INHBB,-2.035,1.07e-13,170.37279470842938,-1.5177533294719885,0.6179931113044463,-2.4559389121156188,0.014051704156447083,0.042256004615192126,True
FERMT2,-2.037,2.95e-16,393.8298046211627,-1.2134704126553977,0.5377090409647546,-2.2567416952450636,0.024024219854485874,0.0643134899225239,True
H2BC5,-2.042,1.38e-15,274.28506509544627,1.8101664122405978,0.3044161045312551,5.946355614227183,2.741781574695986e-09,9.476448937784185e-08,False
SERPINE1,-2.045,4.67e-11,158.116195029871,0.21404528556573718,0.2965265115614121,0.7218419845114166,0.4703916334073135,0.604912544960427,False
BBS2,-2.046,6.37e-12,204.44260659745598,-0.9407403108601217,0.17162143701154076,-5.481484872993233,4.217707921707847e-08,1.0202745323633025e-06,True
CAMK2N1,-2.046,1.26e-15,220.8343715066676,-1.0531296197202962,0.4448608212924087,-2.3673238220006567,0.017917248281630417,0.051288183234471416,True
PMAIP1,-2.046,1.96e-18,9342.221012613758,0.7754665965594988,0.4678012037395544,1.6576840554502619,0.09738125374624453,0.19084903018807076,False
RABGAP1L,-2.05,3.35e-12,411.9447424995784,-1.3344211251936042,0.15407535203633346,-8.66083450439838,4.683230400118194e-18,1.1768682511355839e-15,True
HNRNPM,-2.051,9.98e-19,3025.330936234088,-0.1420835569025712,0.1266355114367977,-1.121988258194728,0.2618674323632041,0.3989080270487833,True
PPP1R15A,-2.051,1.42e-22,17499.566523909565,0.12353190578916204,0.2800139110201795,0.44116345984060623,0.6590946643772069,0.7609257158847601,False
MALAT1,-2.058,6.56e-11,334522.9666215369,-0.12745252925479997,0.2505653002777828,-0.5086599346098721,0.6109906104460845,0.7231138873630522,True
CAVIN2,-2.062,4.19e-15,238.0218346792801,-0.5754817998902738,0.5261118637604351,-1.093839237490222,0.27402549189295167,0.41239938750323735,True
ZBTB10,-2.064,9.450000000000001e-31,297.9089748374084,-1.7778230280401215,0.2694644805005226,-6.597615480666937,4.178232182687585e-11,2.3799210512588482e-09,True
APOD,-2.068,5.05e-09,5098.1593134958175,-1.3940719651961329,0.6579067934439156,-2.1189505551366112,0.03409464581142324,0.08480978625037854,True
CYP1B1,-2.072,1.56e-07,1020.4028940195046,-1.2194091776898044,0.42306308612756455,-2.88233414276688,0.003947408873507661,0.015285832766157293,True
PCDH9,-2.072,6.48e-13,99.92551998241805,-1.9375790267683264,0.5789235134566799,-3.3468653142092717,0.0008173091010438022,0.004188513051414495,True
ADRB1,-2.074,5.92e-16,11.85787655398746,-1.7407544696468378,0.36837933207583906,-4.7254401050069355,2.296175080333353e-06,3.094403767565957e-05,True
FNBP1L,-2.077,2.5199999999999998e-42,291.33709493272187,-0.9216926058411279,0.21597944695243973,-4.267501462970647,1.976744752106586e-05,0.00018866518277478407,True
ZC3H11A,-2.077,7.49e-15,32.485861097799386,-2.8257129225393016,0.41933102011022283,-6.738621249142388,1.5989659746704842e-11,1.0541331240420228e-09,True
IGFBP6,-2.081,3.19e-09,1077.2866283054243,1.1199711883979044,0.6555006413437325,1.7085737492217221,0.08752993465808985,0.17638107587705654,False
PDLIM3,-2.083,1.16e-19,294.2509301021245,-1.265210976193901,0.45302741449330847,-2.792791199201454,0.005225541027378127,0.019107098816395305,True
FLT1,-2.085,3.87e-23,167.3013856291808,-0.36302050787327783,0.5761348296686928,-0.6300964447541443,0.5286314856293324,0.6562194765527134,True
N4BP2L1,-2.085,4.13e-12,395.49446057053046,-0.7505179672934437,0.1926770496645754,-3.895212058727252,9.811285400258024e-05,0.0007164754056393552,True
PRKAR2B,-2.088,9.04e-12,122.25103986026187,-1.3960747558051143,0.5579770285815885,-2.5020290877458184,0.012348377894689663,0.03812131114764723,True
CLIC5,-2.089,1.6e-18,21.713887921864327,-0.8724132862891996,0.5980743216348593,-1.4587038010667706,0.14464664946958544,0.2576427979211428,True
CHRM3,-2.09,4.33e-20,6.785583874402222,-0.9379236152142152,0.6035130287908278,-1.5541066563109627,0.12015897773143233,0.22419599618652994,True
GLDC,-2.09,8.76e-15,5.760205119476445,-0.43547203859376776,0.5444937844161009,-0.7997741224185968,0.4238416786451825,0.5620694757224998,True
IMMP2L,-2.09,3.0600000000000003e-21,249.21479440854185,-0.7347205446997579,0.22489379242365926,-3.266966761428778,0.001087064427123609,0.0052832073181707144,True
PPP1R3C,-2.091,4.9e-14,76.10477823978607,-0.7063848159119157,0.4189472283838056,-1.6860949734337018,0.09177750801813349,0.18256119298545712,True
UST,-2.093,3.02e-19,100.13715848014958,-1.2823508463022542,0.3397006909367959,-3.7749432971887775,0.00016004406399254474,0.0010814745988233963,True
CCNL1,-2.096,5.52e-12,7371.519717232432,-1.0151828963042653,0.30852668463178645,-3.290421694045178,0.0010003734075984961,0.004946290737570342,True
LYVE1,-2.099,5.64e-10,74.25297079537987,-0.8262624289047213,0.7093913245277172,-1.1647484263425578,0.24412084053229433,0.37895502571001505,True
SORBS1,-2.103,3.85e-10,126.8835458856736,-2.1730830233664427,0.30233643284578937,-7.187632012827418,6.592465088632261e-13,6.075404976526938e-11,True
FBXO32,-2.105,3.39e-14,382.04901760224124,-1.1005176762364928,0.2527526700083957,-4.354128786057678,1.3359715382468977e-05,0.00013517930865444686,True
TBX3,-2.106,1.37e-14,372.7987909056381,-1.2628124387625348,0.24468488973727237,-5.16097434589633,2.456678475742155e-07,4.635569986029367e-06,True
PIK3R1,-2.107,3.3e-27,1082.6421418685757,-1.3241094498970167,0.37995726748119063,-3.4848904422194407,0.0004923385828305578,0.0027522512769590987,True
ATP1A2,-2.112,1.19e-11,40.36298157459126,-2.9235146180586686,0.6733302848426614,-4.3418730508190535,1.412731577628115e-05,0.0001418202090262295,True
UBN2,-2.113,6.22e-23,336.61996812873855,-1.0491882278721862,0.2903894256804776,-3.61303868215447,0.00030262953570854464,0.0018369329021695122,True
SLC26A2,-2.114,2.28e-19,180.71503025910798,-0.9627477641299875,0.3439025667471991,-2.799478274431427,0.005118526083161436,0.01880023531425457,True
KRT15,-2.116,4.39e-14,7177.975494876312,-0.3768145719890636,0.6325969545814583,-0.5956629561050818,0.5514004099073082,0.6760755843878138,True
PALM2AKAP2,-2.117,7.65e-20,7.807936852423524,-3.9459654453662565,0.9088215733382814,-4.341848346394271,1.4128904719467058e-05,0.0001418202090262295,True
INSR,-2.12,1.96e-24,475.5934408468553,-0.8066392709912722,0.2064198902103558,-3.907759422646976,9.315599477366837e-05,0.0006863787679770806,True
SOCS2,-2.121,3.82e-13,206.3665181055769,-1.0982163732790384,0.4993540603237632,-2.1992739431556725,0.027858449327867737,0.07218930943142725,True
LARP6,-2.126,2.4e-24,201.3087546520724,0.045088769962079785,0.4233085410727486,0.10651514341717702,0.915173641049181,0.9453750613506154,False
