gene,log2FC,padj
LINC-PINT,-2.437,2e-27
GPAM,-2.442,2.33e-08
LPP,-2.442,1.4e-22
PPP1R3B,-2.443,2.86e-22
DDIT4,-2.444,1.56e-18
ADH1B,-2.451,7.24e-16
DNER,-2.458,1.5e-13
ZBTB20,-2.462,5.26e-24
KIF27,-2.467,4.1699999999999995e-30
SEC14L4,-2.484,1.77e-14
C11orf96,-2.498,3.28e-13
MOGAT1,-2.498,8.17e-18
ADAMTS1,-2.512,5.41e-18
SCN7A,-2.519,4.92e-25
LHX2,-2.523,1.91e-09
RASD1,-2.528,5.330000000000001e-32
RORA,-2.531,4.37e-10
ZNF667-AS1,-2.539,6.689999999999999e-24
H19,-2.541,1.23e-08
SCGB2A2,-2.543,5.74e-06
MFSD4A,-2.545,1.3e-20
ADM,-2.547,6.88e-26
SOX8,-2.548,9.81e-28
ELOVL3,-2.554,2.84e-08
DANT2,-2.562,3.0199999999999995e-23
AHNAK2,-2.572,3.29e-19
GRIA2,-2.573,1.92e-21
ESRRG,-2.586,8.26e-25
KLF2,-2.59,3.58e-40
SORBS2,-2.595,2.99e-17
SH3RF1,-2.601,2.89e-27
TSC22D3,-2.606,1.65e-21
PPFIBP1,-2.607,5.8e-40
ZBTB16,-2.611,2.37e-13
SPX,-2.612,2.51e-12
RGPD5,-2.627,1.8700000000000002e-37
TIAM2,-2.634,1.23e-43
PHYHIP,-2.636,5.07e-28
AGTR1,-2.642,5.06e-11
SCGB2A1,-2.647,1.64e-11
PLAAT3,-2.65,1.24e-11
C7,-2.662,5.72e-21
NEDD9,-2.684,8.85e-20
KRT19,-2.688,1.79e-10
ZFP36,-2.689,2e-27
PER1,-2.691,8.079999999999999e-23
RHOB,-2.706,4.64e-40
ACACB,-2.716,1.75e-22
G0S2,-2.742,1.39e-09
GADD45B,-2.752,2.9699999999999998e-30
GABRP,-2.768,3.38e-19
SNORD3B-2,-2.771,2.31e-14
FADS2,-2.78,1.5e-13
CD300LG,-2.788,2.28e-16
ATP6V0A4,-2.845,6.4e-28
WEE1,-2.85,2.66e-14
JUN,-2.853,2.28e-47
FADS1,-2.874,7e-13
SLC2A3,-2.879,1.38e-28
RHPN2,-2.887,9.62e-18
HSD11B1,-2.905,1.4600000000000001e-27
H2BC8,-2.916,1.51e-19
HAO2,-2.929,9.33e-19
THRSP,-2.941,2.06e-12
FABP4,-2.951,4.1e-09
SERHL,-3.047,3.79e-14
NR4A1,-3.048,1.42e-39
DUSP1,-3.064,4.39e-55
PIP,-3.072,5.89e-08
CDO1,-3.13,2.12e-15
